well,sample_timepoint,lineage,sample_mage_cycle,actual_mage_cycle
A01,01-01,1,1-5,5
A02,03-01,5,5-5,5
A03,05-01,5,5-11,11
A04,01-03,1,1-18',18
A05,03-03,3,3-15,26
A06,05-03,5,5-21,21
A07,01-05,1,1-25',25
A08,03-05,3,3-23,34
A09,05-05,5,5-28,28
A10,01-07,1,1-40,40
A11,03-07,3,3-38,49
A12,05-07,5,5-43,43
B01,01-01,1,1-5,5
B02,03-01,5,5-5,5
B03,05-01,5,5-11,11
B04,01-03,1,1-18',18
B05,03-03,3,3-15,26
B06,05-03,5,5-21,21
B07,01-05,1,1-25',25
B08,03-05,3,3-23,34
B09,05-05,5,5-28,28
B10,01-07,1,1-40,40
B11,03-07,3,3-38,49
B12,05-07,5,5-43,43
C01,01-01,1,1-5,5
C02,03-01,5,5-5,5
C03,05-01,5,5-11,11
C04,01-03,1,1-18',18
C05,03-03,3,3-15,26
C06,05-03,5,5-21,21
C07,01-05,1,1-25',25
C08,03-05,3,3-23,34
C09,05-05,5,5-28,28
C10,01-07,1,1-40,40
C11,03-07,3,3-38,49
C12,05-07,5,5-43,43
D01,01-01,1,1-5,5
D02,03-01,5,5-5,5
D03,05-01,5,5-11,11
D04,01-03,1,1-18',18
D05,03-03,3,3-15,26
D06,05-03,5,5-21,21
D07,01-05,1,1-25',25
D08,03-05,3,3-23,34
D09,05-05,5,5-28,28
D10,01-07,1,1-40,40
D11,03-07,3,3-38,49
D12,05-07,5,5-43,43
E01,01-02,1,1-14,14
E02,03-02,3,3-8,19
E03,05-02,5,5-16,16
E04,01-04,1,1-20',20
E05,03-04,3,3-17,28
E06,05-04,5,5-23,23
E07,01-06,1,1-31',31
E08,03-06,3,3-29,40
E09,05-06,5,5-34,34
E10,01-07,1,1-40,40
E11,03-07,3,3-38,49
E12,05-07,5,5-43,43
F01,01-02,1,1-14,14
F02,03-02,3,3-8,19
F03,05-02,5,5-16,16
F04,01-04,1,1-20',20
F05,03-04,3,3-17,28
F06,05-04,5,5-23,23
F07,01-06,1,1-31',31
F08,03-06,3,3-29,40
F09,05-06,5,5-34,34
F10,01-07,1,1-40,40
F11,03-07,3,3-38,49
F12,05-07,5,5-43,43
G01,01-02,1,1-14,14
G02,03-02,3,3-8,19
G03,05-02,5,5-16,16
G04,01-04,1,1-20',20
G05,03-04,3,3-17,28
G06,05-04,5,5-23,23
G07,01-06,1,1-31',31
G08,03-06,3,3-29,40
G09,05-06,5,5-34,34
G10,01-07,1,1-40,40
G11,03-07,3,3-38,49
G12,05-07,5,5-43,43
H01,01-02,1,1-14,14
H02,03-02,3,3-8,19
H03,05-02,5,5-16,16
H04,01-04,1,1-20',20
H05,03-04,3,3-17,28
H06,05-04,5,5-23,23
H07,01-06,1,1-31',31
H08,03-06,3,3-29,40
H09,05-06,5,5-34,34
H10,C321_I4,C321_I4,C321_I4,0
H11,C321_I4,C321_I4,C321_I4,0
H12,C321_I4,C321_I4,C321_I4,0
